"Tract","Population","MedAge","MedIncome","PerCapIncome","PovertyRate","Bachelors","Masters","Professional","Doctorate","Education25Plus","Hispanic","RaceTotal","Black","HousingUnits","MedHomePrice"
"Tract:1814.03",6680,30.7,51581,31061,23,574,278,135,135,3876,3706,6680,968,3909,192500
"Tract:1403",3211,35,47778,20571,27.8,86,103,0,19,1877,2943,3211,164,1237,176700
"Tract:1218.09",4672,39.7,77888,36196,7.8,850,325,35,19,3568,2223,4672,233,1910,242300
"Tract:1406",2778,32.9,71328,21327,25.6,130,40,0,0,1747,2514,2778,65,957,112400
"Tract:1818.13",7831,32.4,54124,35241,13.5,1362,521,159,66,5450,4203,7831,1161,4164,374000
"Tract:1719.12",6929,34.5,92147,37829,8.7,1316,417,84,17,4338,3822,6929,552,2514,273200
"Tract:1416",5035,35.6,74565,23965,10,239,74,0,5,3134,4678,5035,28,1415,170800
"Tract:1719.24",6745,34.8,75421,50381,3,1016,760,107,207,4566,3173,6745,1433,3384,376700
"Tract:1817.11",9453,38.4,84253,36769,10.4,1624,493,106,45,6556,5422,9453,716,3261,260400
"Tract:1720.05",9973,35.1,91940,46268,12.5,1722,806,184,133,6582,5579,9973,1274,4039,367800
"Tract:1720.08",5401,30.2,102917,46933,1.9,779,567,66,102,3063,2252,5401,558,2144,425700
"Tract:1719.26",3039,27.6,45787,37095,16,371,55,0,0,1712,1347,3039,634,1947,NA
"Tract:1604",4414,39.2,36481,18507,28.5,221,50,7,0,2984,4249,4414,12,1727,115500
"Tract:1505.01",4316,33.1,53295,22465,12.8,189,140,0,0,2713,4159,4316,118,1411,114900
"Tract:1817.03",7879,36.8,87000,45458,4.8,1717,491,170,78,5729,3308,7879,381,3092,335400
"Tract:1901",2787,43.5,43859,26009,12.7,324,156,29,9,2190,2109,2787,66,1629,195400
"Tract:1802.02",4619,43.1,27829,24255,29,370,191,30,19,3505,3703,4619,160,2433,256300
"Tract:1711",3316,39.7,52989,30709,35,166,26,0,0,2161,3183,3316,61,1324,120400
"Tract:1806.02",4080,53.6,57083,35758,8.5,502,519,162,16,3226,3051,4080,67,1898,222200
"Tract:1516",7825,37.6,59599,23919,18,547,207,7,1,5243,6852,7825,2,2792,135100
"Tract:1613.03",4403,29.4,45223,15739,25.6,127,13,15,0,2391,4082,4403,50,1243,106800
"Tract:1514",4327,36.3,76176,24193,22.5,164,22,0,9,3026,4025,4327,4,1490,153700
"Tract:1215.05",5464,34.7,72589,32828,13.6,415,139,31,11,3547,2533,5464,774,1903,173800
"Tract:1817.15",6315,35.4,62243,26578,9.2,758,159,128,51,4015,4976,6315,113,2168,205700
"Tract:1810.05",5148,28.1,30688,13891,27.8,124,69,24,11,3046,2887,5148,866,2355,209400
"Tract:1802.01",4727,41.8,41676,24305,27.7,229,125,10,5,3589,4072,4727,89,2145,171400
"Tract:1719.15",1465,52,93269,34144,16,160,68,1,7,1187,1073,1465,44,639,225500
"Tract:1703",5332,33.1,36318,15374,30.6,61,118,0,0,3192,4760,5332,136,1838,100200
"Tract:1914.09",7332,33.4,51466,35520,14.9,781,487,41,0,5058,4795,7332,481,3811,297000
"Tract:1913.04",2859,38.2,34612,24065,32.8,266,124,23,27,1874,1937,2859,27,1500,241400
"Tract:1910.06",5927,44.3,49706,24944,28.8,73,18,46,14,4187,5762,5927,82,2418,175900
"Tract:1905.04",2698,36.7,75283,31242,10.3,200,138,45,85,1918,2143,2698,68,1115,243000
"Tract:1906.01",3639,38.2,35335,15173,44.3,123,26,0,0,2336,3422,3639,2,1198,183700
"Tract:1810.03",7665,30.4,44688,25281,30.7,665,210,42,41,4696,2338,7665,839,3971,161000
"Tract:1315.03",3318,40,50172,31542,15.3,338,120,13,28,2245,1690,3318,393,1360,167200
"Tract:1307",2444,37.1,25302,17428,42.9,131,11,0,0,1675,1535,2444,683,1335,136800
"Tract:1212.06",7810,37.8,72484,29803,11.8,991,171,201,87,5027,5118,7810,355,2716,199000
"Tract:1209.02",6624,38.8,57850,54195,12.7,1268,525,250,88,5056,2399,6624,883,4043,453600
"Tract:1719.23",9791,29.9,78647,33297,8.3,1429,309,67,19,6280,6088,9791,1155,3569,282600
"Tract:1218.10",4583,34.9,111458,40509,2.7,662,234,47,73,2950,2109,4583,277,1531,300300
"Tract:1713.02",3804,37.5,53846,24253,12.2,161,67,47,7,2477,3441,3804,16,1342,157800
"Tract:1817.29",13786,31.3,119596,40694,6.6,2647,1019,59,105,7889,7455,13786,930,4400,345100
"Tract:1315.06",5767,31.3,76734,32001,9,574,181,89,25,3756,3430,5767,1188,2213,220500
"Tract:1714.01",4063,27.3,57083,18546,24.2,129,14,0,0,2217,3601,4063,0,1245,178900
"Tract:1613.02",5295,27.1,52008,17104,26.9,94,16,17,0,2813,4863,5295,315,1479,143100
"Tract:1613.04",4500,32.6,50502,20434,29.3,144,0,0,0,2724,4083,4500,67,1558,83400
"Tract:1915.06",5321,43.9,109054,63424,8.7,1171,563,408,217,3604,2312,5321,134,2717,463600
"Tract:9800.03",878,24.9,57969,30857,2.8,117,9,8,4,435,219,878,136,363,NA
"Tract:1218.11",6140,37.7,96521,43662,2.8,1443,497,332,52,4326,2267,6140,428,2574,281900
"Tract:1105",2944,25.4,26932,15142,52.1,289,77,13,0,1510,2415,2944,315,1223,163200
"Tract:1820.01",5464,36.6,114597,45380,5.1,1292,492,32,114,3467,3090,5464,121,1997,353500
"Tract:1817.32",8401,28.4,65727,29779,4,1290,370,0,20,4961,4916,8401,484,3280,209100
"Tract:1211.19",5328,39.5,78145,36588,1.6,642,259,94,42,3474,2300,5328,302,2413,255500
"Tract:1807.02",6398,28.9,47624,25095,25,558,59,68,20,3778,3969,6398,544,3273,282100
"Tract:1505.02",3327,47.4,46892,22433,14.4,37,0,9,0,2299,3273,3327,0,1253,112300
"Tract:1506",3747,36.9,47308,38776,21.5,165,69,0,0,2603,3524,3747,0,1508,112300
"Tract:1618.01",3579,36.4,66658,29736,8.6,330,135,25,32,2320,2600,3579,349,1336,174300
"Tract:1216.01",4464,33.9,59923,35054,16.6,599,179,0,64,3018,2002,4464,299,2207,238700
"Tract:1909.01",6094,40.8,53546,32454,22.1,597,404,25,14,4363,4090,6094,31,2934,245900
"Tract:1304.01",3666,35,48400,23024,36.1,223,14,0,8,2433,3120,3666,343,1468,128800
"Tract:1106",9242,37.2,23241,14500,45.5,106,25,5,0,7234,5945,9242,1442,1632,NA
"Tract:1818.23",2819,28.6,57098,32141,21.4,648,173,6,19,1616,1455,2819,257,1223,284900
"Tract:1316.10",4538,34.1,68221,26468,8.2,364,83,0,8,2823,2835,4538,892,1481,187600
"Tract:1316.14",4919,31.5,66250,28214,14.1,800,293,13,15,3084,2090,4919,1092,1748,197600
"Tract:1818.19",9121,30.1,88289,35804,16.3,1764,1070,47,207,5660,4776,9121,552,3454,315100
"Tract:1214.03",5499,34.3,53647,27652,14.1,657,107,10,10,3769,2855,5499,1474,2394,231800
"Tract:1911.01",1694,47,120938,55292,6.8,398,174,67,28,1167,623,1694,16,667,449100
"Tract:1314.02",2973,38.1,65417,23564,20.9,225,45,1,17,1980,1776,2973,793,968,173100
"Tract:1211.17",4715,37.5,72156,40910,9,1128,421,71,10,3475,1767,4715,347,2164,361600
"Tract:1718.01",5303,38.1,50971,21727,21.4,175,107,0,7,3514,4109,5303,288,1925,156000
"Tract:1404",3955,33.3,69904,25589,5.5,256,95,9,0,2498,3611,3955,44,1375,161900
"Tract:1704.02",4656,33.6,45844,18545,31.4,136,36,0,20,2928,4512,4656,102,1666,115800
"Tract:1905.01",2763,37.6,55481,25037,19.7,298,145,62,22,1927,2353,2763,0,1224,198200
"Tract:1710",5193,33.4,37488,17631,37.1,205,55,0,0,3304,5115,5193,0,1747,103100
"Tract:1805.04",4439,32,58313,20546,27.3,171,132,0,0,2617,4104,4439,272,1340,144300
"Tract:1810.04",6697,27.9,47980,27375,29.6,688,205,32,66,3835,3399,6697,441,3328,304100
"Tract:1719.14",4984,39.6,88173,32429,10.5,323,100,19,28,3276,3601,4984,411,1661,219700
"Tract:1912.01",3293,40.2,86563,39216,12.3,491,281,43,105,2447,1784,3293,126,1277,277600
"Tract:1414.03",4300,35.1,48063,27888,26,294,104,0,0,2933,3211,4300,357,2126,145300
"Tract:1314.01",12125,32.6,88244,30092,7,1356,439,21,0,7936,7544,12125,1559,4313,184900
"Tract:1219.04",3584,36.2,112522,47009,2.5,817,456,10,33,2082,1557,3584,134,1209,389100
"Tract:1817.21",3172,39.5,120357,41487,0.8,515,338,12,23,2207,1642,3172,51,1106,270700
"Tract:1816.01",3386,41.3,55189,30319,12.5,342,247,0,0,2476,2889,3386,82,1335,183300
"Tract:1705",3363,44.5,56875,25853,21.7,206,108,9,26,2687,2881,3363,15,1568,207800
"Tract:1910.03",7509,32.3,34889,22018,36.9,502,65,0,0,4710,6247,7509,274,3366,170200
"Tract:1211.16",5041,33.8,73396,40483,4.2,824,433,0,13,3329,2317,5041,139,2345,292800
"Tract:1815.04",7209,29.9,47644,36676,19.2,782,308,371,334,4683,4293,7209,925,4205,198700
"Tract:1601",7186,30.9,27307,15690,33.7,53,74,0,0,4437,7128,7186,0,2466,86500
"Tract:1405",3392,40.6,61571,24597,27,347,31,0,0,2429,2830,3392,65,1536,160300
"Tract:1501",4876,34.8,71197,36134,20.4,493,476,24,18,3669,3663,4876,207,2597,223000
"Tract:1814.02",3179,31.1,51824,35958,25.1,605,345,229,94,2544,1189,3179,176,2112,167300
"Tract:1902",3859,43.1,97550,74649,9.8,1067,641,111,87,3490,1711,3859,323,2540,551900
"Tract:1906.04",4272,30.4,51377,19708,19,83,12,0,0,2634,3990,4272,171,1421,164100
"Tract:1302",1822,28.3,44375,15952,38.5,120,21,5,8,1038,1625,1822,140,706,139900
"Tract:1914.11",4438,38.2,68768,51433,14.4,966,520,96,0,3045,2407,4438,58,2450,411800
"Tract:1914.08",2549,28.9,36498,27278,29.1,302,43,16,0,1747,1431,2549,194,1791,208200
"Tract:1303",2051,39.8,53210,32121,31.4,157,35,0,8,1422,1683,2051,256,1100,192000
"Tract:1206.01",2429,35.2,63875,44732,14.1,389,153,14,41,1840,1478,2429,45,1602,243500
"Tract:1914.12",2362,47.4,216587,92785,2.2,631,386,213,114,1672,650,2362,87,848,658800
"Tract:1915.03",5039,45.4,103672,59083,5.3,933,936,472,104,3615,2216,5039,88,2464,363300
"Tract:1923",5080,40.9,111125,65837,5.4,1119,738,233,159,3816,1641,5080,299,2602,491700
"Tract:1908",2115,40.3,176500,117293,4.1,521,293,234,72,1454,200,2115,23,975,896300
"Tract:1905.03",2852,40.1,54111,41288,11.4,412,140,195,157,2193,1806,2852,64,1472,317500
"Tract:1813.01",3933,36.1,51342,51051,10.4,934,376,131,71,2918,1907,3933,171,2606,348300
"Tract:1407",4675,40.4,53971,29356,12.8,393,113,12,12,3357,3588,4675,238,1996,218300
"Tract:1309",6093,29.7,52319,20923,22.6,416,7,0,0,3543,3921,6093,1599,2133,122800
"Tract:1919",4370,36.3,76066,50964,17.1,807,527,90,7,3349,2839,4370,277,2383,374600
"Tract:1218.04",6921,29.9,63009,28374,17.4,652,93,92,0,4315,3398,6921,1417,2712,188000
"Tract:1414.04",4269,42.8,48386,27552,16,204,62,14,0,3056,3397,4269,190,1855,189500
"Tract:1211.12",4295,37.4,64153,41126,8.4,659,201,20,62,3081,2228,4295,330,2022,238900
"Tract:1207.02",5057,54.3,86992,87316,10.4,1134,620,593,93,4038,1509,5057,112,3160,600400
"Tract:1207.01",5793,35.1,64118,39781,10.8,831,192,242,304,3869,3098,5793,81,2949,349000
"Tract:1715.02",5237,39,41537,20983,24.1,134,60,0,0,3603,4764,5237,283,2075,121500
"Tract:1712",3834,33.1,28673,16411,40.9,77,18,0,8,2443,3734,3834,37,1384,110400
"Tract:1804",4477,27.7,25515,17242,34.6,159,36,17,12,2469,3891,4477,76,1652,157000
"Tract:1805.03",4034,39.8,56389,36293,19.5,422,46,14,0,2730,3778,4034,66,1379,193600
"Tract:1815.05",4333,40.3,84488,54483,8.2,718,239,102,50,3195,2623,4333,62,1748,232600
"Tract:1509",7141,46.1,45583,19751,22.8,234,19,0,0,5172,5753,7141,18,2521,134400
"Tract:1609.02",4169,39.6,56114,23986,21.3,96,13,0,0,2710,4049,4169,84,1565,136200
"Tract:1517",8289,29.5,81333,25245,10.9,438,49,0,35,4550,7105,8289,0,2666,178400
"Tract:1521",6240,36.4,61705,22802,21.5,361,154,18,47,4371,4929,6240,16,1975,208400
"Tract:1215.07",5264,39.7,75763,30419,13.8,498,327,11,28,3736,2916,5264,686,1674,219800
"Tract:1819.02",10585,34.2,131985,68776,11.6,1587,1271,752,256,6636,4996,10585,133,4705,592900
