"Tract","Population","MedAge","MedIncome","PerCapIncome","PovertyRate","Bachelors","Masters","Professional","Doctorate","Education25Plus","Hispanic","RaceTotal","Black","HousingUnits","MedHomePrice"
"Tract:1801.02",1997,41.2,90625,52134,12.1,343,234,153,31,1470,1373,1997,10,955,362400
"Tract:1610",3634,31.9,34779,18584,24.6,139,15,0,0,2217,3329,3634,0,1298,132000
"Tract:1619.02",19642,30.5,76372,31698,7.8,1775,655,234,0,12484,13533,19642,1411,6540,247400
"Tract:1618.02",12410,30.3,76312,23793,7.8,538,206,36,13,6959,9651,12410,969,3296,235500
"Tract:1609.01",2990,34.9,37803,17939,35.1,134,36,0,0,1944,2799,2990,0,1027,111400
"Tract:1922",2781,28.4,59286,34445,22.9,340,181,93,12,1834,1832,2781,158,1578,NA
"Tract:1515",2267,38.5,44185,19827,18.2,64,25,0,0,1416,1855,2267,0,967,137100
"Tract:1216.05",2417,42.1,78778,37443,4.6,186,76,59,10,1745,1060,2417,53,1126,188200
"Tract:1702",4702,38.6,23632,14549,48.5,106,12,0,0,3103,4396,4702,78,2106,114900
"Tract:1315.04",4095,36.2,64429,22915,8.5,192,44,0,0,2527,2912,4095,227,1342,154100
"Tract:1917.01",1444,49.3,158594,106440,6.8,263,276,112,28,1066,290,1444,130,583,755000
"Tract:1914.13",5837,39.2,74120,53540,3.9,1444,805,190,50,4433,2385,5837,203,3040,413900
"Tract:1910.04",3895,35.5,39981,20112,30.7,216,156,0,0,2604,3023,3895,264,1590,209800
"Tract:1910.05",2170,40.3,65417,27982,9.1,109,48,6,14,1507,1885,2170,63,837,180700
"Tract:1911.02",2249,39.4,82000,53283,7,435,197,39,26,1606,1555,2249,30,1077,393800
"Tract:1909.02",3780,42.2,92917,43740,8.3,458,223,53,2,2510,2518,3780,51,1624,253900
"Tract:1906.03",2583,33.9,48750,28292,38.9,214,46,0,5,1808,2188,2583,40,958,187600
"Tract:1904",4688,21.5,107321,52931,13.5,517,522,239,144,1936,1607,4688,169,1445,659200
"Tract:1818.18",5407,36,72417,46886,8.9,794,392,258,82,3785,2159,5407,908,2843,269900
"Tract:1410",3288,35.9,36017,20069,27.8,52,38,6,0,2337,2924,3288,110,1473,141700
"Tract:1408",5770,34.8,54250,20358,22,168,53,0,0,3612,5296,5770,196,1734,136400
"Tract:1310",7320,28.5,39608,16499,43.7,117,51,9,2,3887,3232,7320,3616,2703,132900
"Tract:1312",2619,44,37948,23876,24.7,91,52,0,0,1999,1654,2619,429,1316,163200
"Tract:1308",5546,26.7,27365,13223,49.9,341,40,8,13,2960,2043,5546,2981,2118,160000
"Tract:1304.02",4286,29.7,24833,12843,56.5,24,22,0,7,2426,3235,4286,777,1418,128400
